Lead_Id,Request_Hour,Request_Weekday,Request_MonthDay,Within24,Within48,Within72,WithinWeek,WithinWeeks,WithinMonth,ContactByEmail,ContactByTelephone,DistanceToDealer,Sale_or_NoSale,LeadProvider_Id,FirstNamePresent,LastNamePresent,AddressPresent,CityPresent,EmailPresent,TelephonePresent,PersonalInfo_Total,EmailUserNameLength,EmailUserNameBelievable,FIRST_NAME_LENGTH,FirstNameBelievable,LAST_NAME_LENGTH,LastNameBelievable,NameBelievable,NumberOfTelephones,Status,YearOfCarModel,Manufacturer,Model,ModelYearPresent,ManufacturerPresent,ModelPresent,TradeInModelYear,City,State
146,23,3,15,0,0,0,0,0,1,0,1,28.88,0,LP001,1,1,1,1,1,1,6,4,0,7,1,4,1,1,1,NEW,2008,Toyota,Highlander,1,1,1,2003,Pell City,AL
226,17,5,5,0,0,0,0,1,0,0,1,34.15,0,LP006,0,1,1,1,1,1,5,8,0,0,0,3,1,1,1,USED,2002,Chevrolet,Suburban,1,1,1,1996,Payson,AZ
166,14,2,9,0,0,0,0,0,1,0,1,29.42,0,LP009,1,1,1,1,1,1,6,8,0,7,1,6,1,1,1,NEW,2008,Toyota,Avalon,1,1,1,2007,Farmington,NM
291,20,6,27,0,0,0,1,0,0,0,1,110.76,0,LP010,1,1,1,1,1,1,6,9,0,7,1,7,1,1,1,USED,2006,Ferrari,F1,1,1,1,1997,Conway,AR
102,16,6,12,0,0,0,0,1,0,0,1,37.09,0,LP002,1,1,1,1,1,1,6,12,0,5,1,4,1,1,1,NEW,2008,BMW,7 Series,1,1,1,2001,San Francisco,CA
361,21,3,27,0,0,0,0,0,1,0,1,41.98,0,LP004,1,1,1,1,1,1,6,15,0,7,1,6,1,1,2,NEW,2008,Volvo,S60,1,1,1,1997,Courtland,CA
521,9,6,10,0,0,0,0,0,1,0,1,31.89,0,LP006,1,1,1,1,1,1,6,9,0,7,1,7,1,1,1,NEW,2009,Honda,Fit,1,1,1,2008,Payson,AZ
426,12,4,17,0,0,0,0,1,0,0,1,50.38,0,LP007,1,1,1,1,1,1,6,8,0,7,1,6,1,1,1,NEW,2008,Infiniti,G35,1,1,1,1999,New York,NY
559,18,3,17,0,0,0,0,1,0,0,1,51.81,0,LP008,1,1,1,1,1,1,6,8,0,8,1,6,1,1,1,NEW,2008,Lexus,ES,1,1,1,2002,Pell City,AL
101,9,6,1,0,0,0,0,1,0,0,1,51.25,0,LP002,1,1,1,1,1,1,6,8,0,6,1,8,1,1,1,NEW,2008,Lotus,L1,1,1,1,1997,Albany,NY
510,23,4,9,0,0,0,0,0,0,0,1,117.58,0,LP007,1,1,1,1,1,1,6,8,0,5,1,5,1,1,1,NEW,2008,BMW,X6,1,1,1,2005,New York,NY
509,17,2,16,0,0,0,0,0,1,0,1,82.05,0,LP007,1,1,1,1,1,1,6,8,0,6,1,6,1,1,1,NEW,2009,Chevrolet,TrailBlazer,1,1,1,2006,Meas,AZ
